Comment,Designator,Footprint,LCSC,Quantity
Spannungsversorgung,Spannungsversorgung1,"PhoenixContact_MCV_1,5_2-G-3.5_1x02_P3.50mm_Vertical",,1
6k8,R2,R_0805_2012Metric_Pad1.20x1.40mm_HandSolder,,1
62R,R8,R_0805_2012Metric_Pad1.20x1.40mm_HandSolder,,1
Status_ESP32-DevkitC,LED2,LSY876P2S11,,1
22k,R5,R_0805_2012Metric_Pad1.20x1.40mm_HandSolder,,1
62R,R7,R_0805_2012Metric_Pad1.20x1.40mm_HandSolder,,1
100k,R1,R_0805_2012Metric_Pad1.20x1.40mm_HandSolder,,1
ESP32-S3-ETH,U1,ESP32-S3-ETH,,1
DCDC-24V5V,DCDC-24V5V1,DCDC,,1
Schrittmotor,Schrittmotor1,"PhoenixContact_MCV_1,5_4-G-3.5_1x04_P3.50mm_Vertical",,1
10k,R4,R_0805_2012Metric_Pad1.20x1.40mm_HandSolder,,1
Conn_01x07_Pin,LCDModuleST7735,TFT-Display,,1
ESP32-DevKitC,U2,ESP32-DevKitC,,1
Status-ESP32-ETH,LED1,LSY876P2S11,,1
DCDC-24V9V,DCDC-24V9V1,DCDC,,1
10k,R6,R_0805_2012Metric_Pad1.20x1.40mm_HandSolder,,1
51k,R3,R_0805_2012Metric_Pad1.20x1.40mm_HandSolder,,1
MotorDriver,MotorDriver1,"PhoenixContact_MCV_1,5_8-G-3.5_1x08_P3.50mm_Vertical",,1
Endlage,Endlage1,Liebler_Connector,,1
Hall-Sensor,Hall-Sensor1,Liebler_Connector,,1
ToF-Vereinzler,ToF-Vereinzler1,Liebler_Connector,,1
Schrittmotor,Schrittmotor2,Liebler_Connector,,1
Boot-ESP-ETH,Boot_ESP_ETH1,SW_PUSH_6mm_H13mm,,1
Servo-Balancer,ServoBalancer1,Liebler_Connector,,1
Boot-ESP-DevkitC,Boot_ESP_DevkitC1,SW_PUSH_6mm_H13mm,,1
Servo-Vereinzler,ServoVereinzler1,Liebler_Connector,,1
ToF-Balancer,ToFBalancer1,Liebler_Connector,,1
